Hidden Layers,Activation Function,Learning Rate,Epochs,Batch Size,Accuracy
[4],Sigmoid,0.01,1,512,0.3333333333333333
[4],Sigmoid,0.01,10,16,0.3888888888888889
[4],Sigmoid,0.01,10,32,0.3888888888888889
[4],Sigmoid,0.01,10,64,0.3333333333333333
[4],Sigmoid,0.01,10,128,0.3611111111111111
[4],Sigmoid,0.01,10,256,0.3333333333333333
[4],Sigmoid,0.01,10,512,0.5555555555555556
[4],Sigmoid,0.01,25,16,0.6666666666666666
[4],Sigmoid,0.01,25,32,0.3888888888888889
[4],Sigmoid,0.01,25,64,0.4722222222222222
[4],Sigmoid,0.01,25,128,0.3888888888888889
[4],Sigmoid,0.01,25,256,0.3333333333333333
[4],Sigmoid,0.01,25,512,0.2777777777777778
[4],Sigmoid,0.01,50,16,0.7777777777777778
[4],Sigmoid,0.01,50,32,0.3888888888888889
[4],Sigmoid,0.01,50,64,0.5
[4],Sigmoid,0.01,50,128,0.2777777777777778
[4],Sigmoid,0.01,50,256,0.3055555555555556
[4],Sigmoid,0.01,50,512,0.3888888888888889
[4],Sigmoid,0.01,100,16,0.9722222222222222
[4],Sigmoid,0.01,100,32,0.6388888888888888
[4],Sigmoid,0.01,100,64,0.6388888888888888
[4],Sigmoid,0.01,100,128,0.5277777777777778
[4],Sigmoid,0.01,100,256,0.3888888888888889
[4],Sigmoid,0.01,100,512,0.2777777777777778
[4],Sigmoid,0.01,250,16,1.0
[4],Sigmoid,0.01,250,32,0.9444444444444444
[4],Sigmoid,0.01,250,64,0.8333333333333334
[4],Sigmoid,0.01,250,128,0.6666666666666666
[4],Sigmoid,0.01,250,256,0.3888888888888889
[4],Sigmoid,0.01,250,512,0.4166666666666667
[4],Sigmoid,0.001,1,16,0.3888888888888889
[4],Sigmoid,0.001,1,32,0.2777777777777778
[4],Sigmoid,0.001,1,64,0.3333333333333333
[4],Sigmoid,0.001,1,128,0.2222222222222222
[4],Sigmoid,0.001,1,256,0.3888888888888889
[4],Sigmoid,0.001,1,512,0.3888888888888889
[4],Sigmoid,0.001,10,16,0.2777777777777778
[4],Sigmoid,0.001,10,32,0.2777777777777778
[4],Sigmoid,0.001,10,64,0.25
[4],Sigmoid,0.001,10,128,0.3333333333333333
[4],Sigmoid,0.001,10,256,0.2777777777777778
[4],Sigmoid,0.001,10,512,0.2777777777777778
[4],Sigmoid,0.001,25,16,0.3333333333333333
[4],Sigmoid,0.001,25,32,0.4166666666666667
[4],Sigmoid,0.001,25,64,0.3333333333333333
[4],Sigmoid,0.001,25,128,0.2777777777777778
[4],Sigmoid,0.001,25,256,0.5277777777777778
[4],Sigmoid,0.001,25,512,0.25
[4],Sigmoid,0.001,50,16,0.3888888888888889
[4],Sigmoid,0.001,50,32,0.3888888888888889
[4],Sigmoid,0.001,50,64,0.2777777777777778
[4],Sigmoid,0.001,50,128,0.16666666666666666
[4],Sigmoid,0.001,50,256,0.3888888888888889
[4],Sigmoid,0.001,50,512,0.2222222222222222
[4],Sigmoid,0.001,100,16,0.3888888888888889
[4],Sigmoid,0.001,100,32,0.4166666666666667
[4],Sigmoid,0.001,100,64,0.3611111111111111
[4],Sigmoid,0.001,100,128,0.3888888888888889
[4],Sigmoid,0.001,100,256,0.25
[4],Sigmoid,0.001,100,512,0.3888888888888889
[4],Sigmoid,0.001,250,16,0.5277777777777778
[4],Sigmoid,0.001,250,32,0.3333333333333333
[4],Sigmoid,0.001,250,64,0.3333333333333333
[4],Sigmoid,0.001,250,128,0.3333333333333333
[4],Sigmoid,0.001,250,256,0.3888888888888889
[4],Sigmoid,0.001,250,512,0.2777777777777778
[4],Sigmoid,0.0001,1,16,0.19444444444444445
[4],Sigmoid,0.0001,1,32,0.3333333333333333
[4],Sigmoid,0.0001,1,64,0.2777777777777778
[4],Sigmoid,0.0001,1,128,0.16666666666666666
[4],Sigmoid,0.0001,1,256,0.1111111111111111
[4],Sigmoid,0.0001,1,512,0.3888888888888889
[4],Sigmoid,0.0001,10,16,0.2777777777777778
[4],Sigmoid,0.0001,10,32,0.5
[4],Sigmoid,0.0001,10,64,0.3333333333333333
[4],Sigmoid,0.0001,10,128,0.3333333333333333
[4],Sigmoid,0.0001,10,256,0.3333333333333333
[4],Sigmoid,0.0001,10,512,0.3333333333333333
[4],Sigmoid,0.0001,25,16,0.3888888888888889
[4],Sigmoid,0.0001,25,32,0.3333333333333333
